question_id,question,answer,grv_score,grv_label,in_corpus,category,human_label,notes
Q001,What do you need to add to an existing Azure Function to connect it to other Azure services using bindings?,"To connect an existing Azure Function to other Azure services using bindings, you need to add specific binding definitions to your function. This involves updating the function code to include input or output bindings. 

- For languages that use a function.json file, you can manually add bindings or use Visual Studio Code with the Azure Functions extension to automatically add bindings to the function.json file.
- When developing in the Azure portal, you add input and output bindings in the **Integrate** tab for the function, which updates the function.json file or method attributes depending on the language.
- For certain bindings like Azure Cosmos DB output binding in C#, you must install the corresponding bindings extension package (e.g., using `dotnet add package Microsoft.Azure.Functions.Worker.Extensions.CosmosDB`).
- For JavaScript and Python projects, extension bundles configured in the host.json file automatically install a predefined set of extension packages needed for bindings.

In summary, you need to add the appropriate binding definitions and ensure any required extension packages or bundles are installed in your project.",0.919,grounded,TRUE,azure_functions_bindings,grounded,
Q003,Which trigger types does the Azure Functions Go worker currently support?,"The Azure Functions Go worker currently supports the following trigger types:

- HTTP trigger (`app.HTTP()`)
- Timer trigger (`app.Timer()`)
- Azure Cosmos DB trigger (`app.CosmosDB()`)
- Azure Service Bus (Queue) trigger (`app.ServiceBusQueue()`)

Note that input and output bindings, such as Queue Storage output bindings, are not yet supported by the Go worker. For interactions beyond triggers, you should use the Azure SDK for Go directly.",0.7907,grounded,TRUE,azure_functions_bindings,grounded,
Q004,What tool can automatically add a binding to an existing function.json file when developing Azure Functions locally?,The Azure Functions extension in Visual Studio Code can automatically add a binding to an existing function.json file when developing Azure Functions locally.,0.7147,grounded,TRUE,azure_functions_bindings,grounded,
Q005,Where in the Azure portal do you add input and output bindings to an existing function?,"In the Azure portal, you add input and output bindings to an existing function in the **Integrate** tab for that function.",0.6646,grounded,TRUE,azure_functions_bindings,grounded,
Q006,What GPU options does Azure Container Apps support for AI workloads?,"Azure Container Apps supports serverless GPU acceleration with Nvidia T4 and A100 GPU options for AI workloads. These GPUs enable compute-intensive machine learning and AI workloads in containerized environments, allowing automatic scaling based on demand without managing the underlying infrastructure.",0.7497,grounded,TRUE,container_apps_ai,grounded,
Q007,What programming languages does the platform-managed built-in container in Azure Container Apps dynamic sessions support?,"The platform-managed built-in container in Azure Container Apps dynamic sessions supports all major language runtimes available in Azure Functions, including C#, JavaScript / TypeScript (Node.js), Python, Java, PowerShell, and Custom containers (bring your own image).",0.7381,grounded,TRUE,container_apps_ai,grounded,
Q008,What is the purpose of dynamic sessions in Azure Container Apps?,I could not find relevant information in the available documents about the specific purpose of dynamic sessions in Azure Container Apps.,0.6422,grounded,TRUE,container_apps_ai,grounded,
Q010,What kind of platform is Azure Container Apps described as in the context of AI integration?,"Azure Container Apps is described as a fully managed, serverless container platform that simplifies the deployment and scaling of microservices and AI-powered applications. It supports GPU workloads natively, integrates seamlessly with Foundry Tools, and offers flexible deployment options, making it an ideal platform for building intelligent, cloud-native solutions.",0.796,grounded,TRUE,container_apps_ai,grounded,
Q011,What is the registration method used in the Azure Functions Go worker for an HTTP trigger?,The registration method used in the Azure Functions Go worker for an HTTP trigger is `app.HTTP()`.,0.6095,grounded,TRUE,azure_functions_go,grounded,
Q012,What registration method does the Go worker use for an Azure Cosmos DB trigger?,The Go worker uses the registration method `app.CosmosDB()` for an Azure Cosmos DB trigger.,0.5791,partially_grounded,TRUE,azure_functions_go,grounded,
