question_id,human_label,notes
Q001,grounded,
Q002,grounded,
Q003,grounded,
Q004,grounded,
Q005,grounded,
Q006,ungrounded,"Wrong corpus, multiple document with mismatched correct search reposes"
Q007,grounded,
Q008,grounded,
Q009,grounded,
Q010,grounded,
Q011,grounded,
Q012,grounded,
Q013,grounded,
Q014,grounded,
Q015,grounded,
Q016,grounded,
Q017,grounded,
Q018,grounded,
Q019,grounded,
Q020,grounded,
Q021,grounded,
Q022,grounded,
Q023,grounded,
Q024,grounded,
Q025,grounded,
Q026,grounded,
Q027,partially_grounded,"Correct. It matches the expected answer, but the part about Azure Blobs is not needed."
Q028,grounded,
Q029,grounded,
Q030,grounded,
Q031,grounded,
Q032,grounded,
Q033,grounded,
Q034,grounded,
Q035,grounded,
Q036,grounded,
Q037,grounded,
Q038,grounded,
Q039,grounded,
Q040,grounded,
Q041,grounded,
Q042,grounded,
Q043,grounded,
Q044,grounded,
Q045,grounded,
Q046,grounded,
Q047,grounded,
Q048,grounded,
Q049,grounded,
Q050,grounded,
Q051,grounded,
Q052,grounded,
Q053,grounded,
Q054,grounded,
Q055,grounded,
Q056,grounded,
Q057,grounded,
Q058,grounded,
Q059,grounded,
Q060,grounded,
Q061,grounded,
Q062,grounded,
Q063,grounded,
Q064,grounded,
Q065,grounded,
Q066,grounded,
Q067,grounded,
Q068,partially_grounded,"Correct. It matches the expected answer, but the last sentence is not needed (Can ignore)."
Q069,grounded,
Q070,grounded,
Q071,grounded,
Q072,grounded,
Q073,grounded,
Q074,grounded,
Q075,grounded,
Q076,grounded,
Q077,grounded,
Q078,grounded,
Q079,grounded,
Q080,grounded,
Q081,grounded,
Q082,grounded,
Q083,grounded,
Q084,grounded,
Q085,grounded,
Q086,grounded,
Q087,grounded,
Q088,grounded,
Q089,grounded,
Q090,grounded,
Q091,grounded,
Q092,grounded,
Q093,grounded,
Q094,grounded,
Q095,grounded,"Correct, but it includes too many unnecessary details, which makes the answer confusing."
Q096,grounded,
Q097,grounded,
Q098,grounded,
Q099,grounded,
Q100,partially_grounded,"Correct, but it has extra details. The expected answer only says it points to the storage account connection string where the appÕs content and code are stored on Azure Files."
Q101,grounded,
Q102,grounded,
Q103,grounded,
Q104,grounded,
Q105,grounded,
Q106,grounded,
Q107,grounded,
Q108,grounded,
Q109,grounded,
Q110,grounded,
Q111,grounded,
Q112,grounded,
Q113,grounded,
Q114,grounded,
Q115,grounded,
Q116,grounded,
Q117,grounded,
Q118,grounded,
Q119,grounded,
Q120,grounded,
Q121,grounded,
Q122,grounded,
Q123,grounded,
Q124,grounded,
Q125,grounded,Correct. It matches the expected answer.
Q126,partially_grounded,Correct. It matches the expected answer.
Q127,grounded,
Q128,grounded,
Q129,grounded,
Q130,grounded,
Q131,grounded,
Q132,grounded,Correct. It matches the expected answer.
Q133,grounded,
Q134,grounded,
Q135,grounded,
Q136,grounded,
Q137,grounded,
Q138,grounded,
Q139,ungrounded,"Wrong
Correct port is : 6380 "
Q140,grounded,
Q141,grounded,
Q142,grounded,
Q143,grounded,
Q144,grounded,
Q145,grounded,
Q146,grounded,
Q147,grounded,
Q148,grounded,
Q149,grounded,
Q150,grounded,
Q151,grounded,
Q152,grounded,
Q153,grounded,
Q154,grounded,
Q155,grounded,
Q156,grounded,
Q157,grounded,
Q158,grounded,
Q159,grounded,
Q160,grounded,
Q161,grounded,
Q162,grounded,
Q163,grounded,
Q164,grounded,
Q165,grounded,
Q166,grounded,
Q167,grounded,
Q168,grounded,
Q169,grounded,
Q170,grounded,
Q171,grounded,
Q172,grounded,
Q173,grounded,
Q174,grounded,
Q175,grounded,
Q176,grounded,
Q177,grounded,
Q178,grounded,
Q179,grounded,
Q180,grounded,
Q181,grounded,
Q182,grounded,
Q183,grounded,
Q184,grounded,
Q185,grounded,
Q186,grounded,
Q187,grounded,
Q188,grounded,
Q189,grounded,
Q190,grounded,
Q191,grounded,
Q192,grounded,
Q193,grounded,
Q194,grounded,
Q195,grounded,
Q196,grounded,
Q197,grounded,
Q198,grounded,
Q199,grounded,
Q200,grounded,
